SubLevel,QNumber,QContent,AnswerA,AnswerB,AnswerC,AnswerD,CorrectAnswer,Passed
6,57,"Mind that the baby shouldn't touch the knife, it's as sharp as a .............................",blade,sword,cut,razor,razor,0
6,58,The mother was furious when she entered the nursery and saw it in complete..............,pollution,dirt,disorder,junk,disorder,0
6,59,Your staying in this room longer than seven days will.........................having to  pay extra money.,mean,correspond,prove,infer,mean,0
6,60,Mr. Robson's job is to teach the young officers to................... their duty in the right way.,operate,perform,commit,proceed,perform,0
7,61,The matter was so delicate that none of the ministers knew how to.....................it.,manipulate,deal,handle,affect,handle,0
7,62,Betty told her younger sister to.................her alone because she didn't feel  like playing games.,put,leave,set,make,leave,0
7,63,The students have asked their professor to.....................making a test until  after Christmas.,postpone,interrupt,await,terminate,postpone,0
7,64,"Now that the 9.30 train has been cancelled, we have got plenty of time to  .............................before the next one arrives.",expire,spare,abound,exhaust,spare,0
7,65,Mr. Smith ate his breakfast in great....................so as not to miss the bus to  Liverpool.,speed,pace,rush,haste,haste,0
7,66,The handwriting is completely.................This note must have been written  a long time ago.,inedible,indelible,illegible,unfeasible,illegible,0
7,67,To everybody's..................the doctor declared the boy's life was out of  danger.,calmness,soothe,peace,relief,relief,0
7,68,"This species of mosquito can be dangerous, but happily, it is rather.....................  in this area.",rare,minor,few,scarcely,rare,0
7,69,The whole situation is getting out of.......................Let's do something before it  turns into a bitter row.,capacity,charge,hand,discipline,hand,0
7,70,"I know it works in theory, but try putting it into ......................... and you'll find out  it's a failure.",operation,exercise,performance,procedure,operation,0
8,71,I  wouldn't have realized about the possible risk of setting the factory on fire if Bob  hadn't.............................my attention to it.,sought,drawn,showed,caught,drawn,0
8,72,It was mindless of you to............................Sam in the face. You should never have  done it if you expect him to love you.,slam,clap,slap,clasp,slap,0
8,73,I can hardly think of Jenny being able to ....................the aim she has set herself.,implement,accomplish,triumph,succeed,accomplish,0
8,74,"It had been assumed Phillip would take over the manager's post after the man retired.  But, it never came to..........................since he'd decided to change his place of work.",final,pass,occurrence,being,pass,0
8,75,Eric's father works as an interpreter. The man is.......................in three languages.,fluent,outspoken,speechless,knowledgeable,fluent,0
8,76,Our karate master is as quick as.........................,wave,thunder,current,lightning,lightning,0
8,77,Her perfect manners and exceptional erudition is an effect of her strict upper-class...................,upstanding,upkeep,upbringing,uphold,upbringing,0
8,78,This pupil is notorious for playing....................from his mathematics lessons.,truant,runaway,absent,joyride,truant,0
8,79,Andrew is a very disciplined employee. He......................great importance to  coming to work in time.,affixes,attributes,admits,attaches,attaches,0
8,80,The scientists broke down as they realized that all their efforts had gone to................,loss,failure,waste,collapse,waste,0
9,81,I was...........................to believe that she was a representative of the Labour Party.,declared,carried,led,explained,led,0
9,82,It has been kept........................for about ten years that the minister's son committed a crime.,unaware,secret,mystery,obscure,secret,0
9,83,One could see with the........................eye that there was a lighthouse on the promontory.,naked,sole,nude,shut,naked,0
9,84,"These two items don't differ much. The..........................is even more apparent when you put them together,",similarity,likelihood,coincidence,analogy,similarity,0
9,85,Your rude behaviour was an....................to the host and his wife. I don't think they will ever invite us to their home again.,abuse,insult,injury,aversion,insult,0
9,86,"For almost fifty years, the citizens of this country were.......................from travelling abroad unless they were politicians.",suspended,rejected,averted,forbidden,forbidden,0
9,87,I wouldn't.......................their position in the market. They may appear to be very influential  one day in the future.,undertake,underestimate,underwrite,undercharge,underestimate,0
9,88,We can't admit a person who hasn't....................................the required number of points  at the entrance examination.,scored,assessed,settled,qualified,scored,0
9,89,"................................he delivers the report, it will be sent to the headquarters.",On the point,At once,Immediately,Soon enough,Immediately,0
9,90,The most probable....................for your chronic headache is lack of good rest.,factor,background,origin,reason,reason,0
10,91,cheese isn't fit for eating. It's...............all over after lying in the bin for so long.,rusty,moldy,spoiled,sour,moldy,0
10,92,I cannot think of the correct answer. Could you drop me a small  ................please?,tip,idea,hint,word,hint,0
10,93,It was.................................time we went home after having spent the whole afternoon in the garden.,only,just,near,about,about,0
10,94,Why not ask the tailor to shorten the jacket a little? Unless you don't want it to............................ perfectly with the trousers.,go,do,make,suit,go,0
10,95,Studs was only the boy's................................His real name was William.,label,nickname,identity,figure,nickname,0
10,96,It's interesting how the rumour about my promotion began to..............................,progress,spread,publicize,emit,spread,0
10,97,What we saw was absolutely unusual. Crowds of people from all four.................................  of the world were cheering the arrival of the astronauts.,corners,edges,spots,places,corners,0
10,98,Mr. Henson's bitter comments on the management's mistakes gave.......................... to the conflict which has already lasted for four months.,cause,ground,goal,rise,rise,0
10,99,Numerous................have prevented us from going to the lakeside again this year.,inhibitions,deterrents,impairments,adversities,adversities,0
10,100,That tall fair woman..........................me of my mother.,reminds,remembers,reminisces,recalls,reminds,0
11,101,"Tom's car hit a tree. As a result, he was badly injured",hurt,inside,hit,distant,hurt,0
11,102,The manager had his secretary ....... the report for him,type,typed,typing,to type,type,0
11,103,Lauren's family has lived in New York for one hundred years. Their ancestors came from American.,family members from a long time before.,grandchildren and their grandchildren.,"parents, grandparents, and great grandparents.",family members all living at the same time.,family members from a long time before.,0
11,104,No sooner ................. the office than the phone rang,he had left,had he left,he was leaving,was he leaving,had he left,0
11,105,She was anxious because her child was kidnapped by a notorious ............... of robbers.,staff,crew,team,gang,gang,0
11,106,Neither the director nor his assistant ................. yet,have  come,haven't come,has come,hasn't come,has come,0
11,107,Don't count upon Fred to lend you any money because he has none,tell,ask,depend upon,order,depend upon,0
11,108,"When the singer finished his songs, the audience ............................ for five minutes.",shouted,clapped,kept silent,opposed,clapped,0
11,109,Guessing what her .............. to the news would be difficult,feelings,reaction,capital,opinion,reaction,0
11,110,The village ................. we are going to visit is far from here,where,which,what,when,which,0
12,111,I found this job attracting because it offered the ............ to do research,possibility,proposal,opportunity,prospect,opportunity,0
12,112,She wishes she ................. you the bad news yesterday,didn't tell,wouldn't tell,hadn't told,doesn't tell,hadn't told,0
12,113,We always keep on good .................. with our next-door neighbors for our children's sake.,friendship,relations,will,terms,relations,0
12,114,Have you got time to discuss your work now or are you ................. to leave?,thinking,planned,around,about,about,0
12,115,You can always rely on Kate. She is very ..............,depend,dependable,dependent,independent,dependable,0
12,116,The police are looking for a man of ................. height,medium,extra,tall,special,medium,0
12,117,English is a ................. easy language for Swedes to learn,comparatively,comparative,compare,comparison,comparatively,0
12,118,She did all the work ................. her own,by,on,for,with,on,0
12,119,There's a ............. of styles for you to choose from,various,variety,variation,variorum,variety,0
12,120,The children won't go to sleep  ................ we leave a light on outside their bedroom.,except,otherwise,unless,but,unless,0
13,121,I did my best to prevent my cat ............. running outside,from,to,against,for,from,0
13,122,I wrote to the company ................ them for a catalogue,demanding,asking,enquiring,applying,asking,0
13,123,The singer ended the concert ............... her favorite song,by,with,in,as,with,0
13,124,Dinner will be ready soon. Can you please ................ the table?,lay,settle,make,put,lay,0
13,125,He asked me what I would say when I was ............. a piece of sound advice,given,asked,do,told,given,0
13,126,The doctor arranged for me to see the ................ at the hospital about the pain in my back.,expert,specialist,speciality,expertise,specialist,0
13,127,One .............. of my new job is that I'm away from home,pity,dislike,complaint,disadvantage,disadvantage,0
13,128,There are ................ when I have to work very hard,times,at times,from time to time,a long time,times,0
13,129,".............. there was a fierce dog in the house, the thieves managed to break in.",Since,Because,As,Although,Although,0
13,130,The newspaper report contained ................ important information,many,another,an,a lot of,a lot of,0
14,131,This pen is .............. the other two pens,more expensive as,the most expensive of,more expensive than,as expensive than,more expensive than,0
14,132,My uncle made a speech at a wedding ....................,certificate,marriage,funeral,reception,reception,0
14,133,"............. is your dress, the red one or the green one?",Which,What,How,Who,Which,0
14,134,I have to leave before seven and so ................,leave you,you have,you do,do you,do you,0
14,135,He has the ............... to become a professional football player,ability,able,enable,abilities,ability,0
14,136,You ................ better be careful not to miss the train!,would,should,had,did,had,0
14,137,The professor explained his ideas with great .........,clear,clearly,clarify,clarity,clarity,0
14,138,Her class has many students but each one receives ................ attention,individual,only,alone,single,individual,0
14,139,He drives so .............. that he's sure to have an accident,careful,carefully,carelessly,careless,carelessly,0
14,140,By half past ten tomorrow morning I ................ along the motorway,will drive,am driving,drive,will be driving,will be driving,0
15,141,................. I came to the station just in time,Fortunate,Fortunately,Unfortunate,Unfortunately,Fortunately,0
15,142,You had to give a full ................ of your car when you reported it stolen,account,detail,information,description,description,0
15,143,"""................. this month?"" ""No, she's on leave.""",Is Sue working,Does Sue work,Does work Sue,Did Sue work,Is Sue working,0
15,144,"..........................., I'd have told you the answer",If you asked me,Had you asked me,You had asked me,Unless you asked me,Had you asked me,0
15,145,Jack is away on holiday. He ................ to Japan,is gone,has gone,has been,went,has gone,0
15,146,"Of the two new teachers, one is experienced and ........................",the others are not,another is inexperienced,the other is not,other lacks experience,the other is not,0
15,147,"................ tomorrow, so we can watch TV until 11 o'clock",I'm not working,I don't work,I won't work,I shan't work,I'm not working,0
15,148,"""What should we do about this problem? "" It is advisable ...............",that to adopt a drastic measure,that a drastic measure is adopted,that a drastic measure be adopted,a drastic measure to be adopted,that a drastic measure be adopted,0
15,149,The fire spread through the building quickly but everybody .............,was able to escape,managed to escape,could escape,both a and b are correct,both a and b are correct,0
15,150,Doctorial students who are preparing to take their qualifying examinations have been studying in the library every night .............. the last three months,since,until,before,for,for,0
16,151,I'm not tired enough to go to bed yet. I wouldn't sleep if I ................ to bed now.,go,went,had gone,would go,went,0
16,152,"Your nephew, .................... name I can't remember, made a lot of noise",what,where,whose,which,whose,0
16,153,We ................ by a noisy row outside during the night,woke up,are woken up,were woken up,were waking up,were woken up,0
16,154,The reason .................... Hoa phoned Huong was to invite her to the cinema .,what,whose,why,which,why,0
16,155,"Hi, Sue. I didn't expect to see you today. Your brother said you .................ill",are,were,was,should be,were,0
16,156,................ in the world export diamonds,Only little nations,Only few nations,Only a little nations,Only a few nations,Only a few nations,0
16,157,"""How ...................... ?"" ""Nobody knows.""",happened the accident,did happen the accident,did the accident happen,All of them are wrong,did the accident happen,0
16,158,"At 3810 meters above sea-level in Bolivia stands Lake Titicaca, ............... in the world.",the highest large lake,high largest lake,highest large lake,the high largest lake,the highest large lake,0
16,159,You can't stop me ............... what I want,doing,do,to do,that I do,doing,0
16,160,"................., he was a young school-teacher living in Connecticut",When the American Revolution began,The American Revolution began,It was when the American Revolution began,The beginning of the American Revolution,When the American Revolution began,0
17,161,Call an ambulance. There's been ...................,accident,an accident,some accident,any accident,an accident,0
17,162,The plane would have landed ................ the fog,but for,but,except for,except,but for,0
17,163,I'm going to a wedding on Thursday. .................. is getting married,A friend of me,A friend of mine,One my friends,both a and c are correct,A friend of mine,0
17,164,Everyone sent flowers ............... John,except,except for,beside,in addition,except,0
17,165,I dislike stories ................... have tragic endings,that,which,who,both a and b are correct,both a and b are correct,0
17,166,Several days went ................ before I had news,past,pass,by,through,by,0
17,167,Sonia doesn't enjoy her job. She's ............... because she does the same thing every day.,boring,bored,both a and b are correct,both a and b are wrong,bored,0
17,168,".................. with the size of the whole earth, the highest mountains do not seem high at all.",When compared,Compare with,If you compare,A comparison,When compared,0
17,169,It's impossible to sleep ................. very tired,although I was,despite I was,despite of being,in spite of being,although I was,0
17,170,The accomplishments of modern medicine would be impossible ............. highly specialized instruments.,without,but without,but there are,among,without,0
18,171,I'll be at home .............. Sunday. You can phone me then,at,on,in,All of them are wrong,on,0
18,172,"If you don't mind, I should like to ................... a suggestion",make,show,say,reach,make,0
18,173,I don't understand this sentence. What .................... ?,does mean it,does it mean,means it,did it mean,does it mean,0
18,174,Only in this way ................ manage to see him,I could,I can,could I,I might,could I,0
18,175,Everything is going well. We ................... any problems so far,didn't have,don't have,haven't had,haven't been having,haven't had,0
18,176,Mrs Young is the woman ............. you saw at the desk,who,whom,whose,which,whom,0
18,177,That bag looks heavy. ................ you with it.,I'm helping,I help,I'll help,I have helped,I'll help,0
18,178,"................... a bridge built, more tourists would come to the island",Was,If,If they had,Unless they have,If they had,0
18,179,The doorbell is ringing. It ..................... be Mark,might,can,could,both a and c are correct,both a and c are correct,0
18,180,He opened the door and let himself in quietly ................ not to wake the family.,because,so as,so that,to make sure,so as,0
19,181,"If I were you, I ....................that shirt. It's much too expensive",won't buy,don't buy,am not going to buy,wouldn't buy,wouldn't buy,0
19,182,He's a young man who takes great ..................... in his appearance,attention,tidiness,pride,care,pride,0
19,183,There's somebody walking behind us. I think ...................,we are following,we are being followed,we are followed,we are being following,we are being followed,0
19,184,I tried to solve the problems ...................... the noise and interruptions,because of,in case of,in spite of,according to,in spite of,0
19,185,His village is lonely. It is ................................,far,far from anywhere,alone,the only one,far from anywhere,0
19,186,"A ................... of days before, a terrible explosion took place here",few,couple,period,series,couple,0
19,187,"""Do you know where ................. ?"" ""No, he didn't say.""",Tom has gone,has Tom gone,has gone Tom,Tom went,Tom has gone,0
19,188,Do you need my signature? No. .................... you or your manager can sign this.,Either,Both,Also,That,Either,0
19,189,I must go to class now. I promised ................ absent,not being,not to be,to not be,I wouldn't be,not to be,0
19,190,I wouldn't waste time ..................... that book if I were you,to reading,reading,read,to be read,reading,0
20,191,"""What are you going to buy?"" ""I'm going to buy ...................... .""",a bread,some bread,a loaf of bread,both b and c are correct,both b and c are correct,0
20,192,"""What time did you arrive at the match?"" ""A little ............... than usual.",more,time,less,later,later,0
20,193,At what time shall we .............. this morning?,meet,meet us,meet ourselves,meet ours,meet,0
20,194,................. a man tried and failed,Many,Many of,Many a,A lot of,Many,0
20,195,I didn't believe them at first but in fact everything ................ was true,they said,that they said,what they said,both a and b are correct,both a and b are correct,0
20,196,You look .............. you were tired,like,although,until,as if,as if,0
20,197,She was carrying a ..................... bag,black small plastic,small and black plastic,small black plastic,plastic small black,small black plastic,0
20,198,................ goods were sent to the fair,A great deal of,Little,A large number of,Much,A large number of,0
20,199,Why don't you insure your motorbike ................. stolen,in case it will be,if it will be,in case it is,if it is,in case it is,0
20,200,I have only the time to tell you the gist,reference,first part,main idea,a few details,main idea,0
21,201,He's leaving ............. the end of April,at,on,in,out,at,0
21,202,A meticulous typist must be very conscientious about correcting even the smallest errors.,careful,fast,new,good,careful,0
21,203,My father .................. badminton three times a week,is playing usually,is usually playing,usually plays,plays usually,usually plays,0
21,204,Under no condition ..................... hope,will they give up,they give up,they would give up,they giving up,will they give up,0
21,205,Kite has lost her ID card again. It's the second time this .................,has happened,happens,happened,had happened,has happened,0
21,206,"It's a fast car. ....................... , it's got a reliable engine.",Besides,Beside,Otherwise,Apart from,Besides,0
21,207,I think the weather ............... be nice later,will,shall,is going to,is,will,0
21,208,I hope you don't mind my ................ so late at night,telephoning,to telephone,telephone,to have telephoned,telephoning,0
21,209,Why did you stay at a hotel when you went to Florida? You ................ with us.,can stay,could stay,could have stayed,must have stayed,could have stayed,0
21,210,""" What did he use to get the fish?"""" I think he had a ....................",bamboo long fishing rod,long bamboo fishing rod,"rod long, bamboo, and fishing",bamboo fishing long rod,long bamboo fishing rod,0
22,211,I decided to stay at home last night. I would have gone out if I ..............so tired.,wasn't,weren't,wouldn't have been,hadn't been,hadn't been,0
22,212,"The bus ................ from here to HoChiMinh city is 300,000 dong",cost,fare,payment,charge,fare,0
22,213,"""Where .................?"" ""In Vietnam.""",were you born,are you born,have you been born,did you born,were you born,0
22,214,He said he didn't derive ................ from working,joys,any joy,some joys,no joy,any joy,0
22,215,The inspector stopped and asked us where ................,were we going,are we going,we are going,we were going,we were going,0
22,216,John slipped on a piece of orange .............. and broke his leg,peel,shell,layer,coat,peel,0
22,217,Do you want ............... with you or do you want to go by yourself?,me coming,me to come,that I come,that I will come,me to come,0
22,218,Parents should be .................... for teaching their children the difference between right and wrong.,responsibility,responsible,responsibly,responsive,responsible,0
22,219,Her sister works at a well-known hospital. She's .............,nurse,a nurse,the nurse,an nurse,a nurse,0
22,220,Farming is the chief ................ of the Cambodians,consumption,occupation,performance,importance,occupation,0
23,221,Last week the player didn't arrive for a training ....................,game,practice,session,drill,session,0
23,222,When can the students ................. for next year's evening classes?,assist,enrol,join,learn,enrol,0
23,223,What's the name of the man .................... ?,you borrowed his car,which car you borrowed,whose car you borrowed,his car you borrowed,whose car you borrowed,0
23,224,The policeman said that he saw no ................ between them,joint,connection,communication,join,connection,0
23,225,"Sir, .................. I go out to meet my mother?",can,may,would,please,may,0
23,226,"""Did he lose?"" ""Yes, but if he had tried harder, he ...................... won.",might,might have,might of,might has,might have,0
23,227,The club is for members only. You ............... you're a member,can't go in if,can go in only if,can't go in unless,both b and c are correct,both b and c are correct,0
23,228,................. my desk in the last twenty years,Many a letter has crossed,A many letters have crossed,Many a letter have crossed,Many a letters have crossed,Many a letter has crossed,0
23,229,"On being in Thailand, we spent a few days ............ Bangkok",at,to,in,from,in,0
23,230,"Two of these books are mine, ................ are John's",another,others,the others,rest,the others,0
24,231,How .................. now? Better than before?,you are feeling,do you feel,are you feeling,you feel,do you feel,0
24,232,When the time came to ................ the bill at the hotel she found her purse had been stolen.,pay,pay out,pay for,pay up,pay,0
24,233,You're out of breath. ...........................?,Are you running,Have you run,Have you been running,Did you ran,Have you been running,0
24,234,"When the manager went on business, his ................ often took over all his duties.",caretaker,officer,deputy,commander,deputy,0
24,235,"""Ann is in hospital."" ""Yes, I know. ............... her tomorrow.""",I visit,I'm going to visit,I'll visit,I'm visiting,I'm going to visit,0
24,236,"..... fairy stories, stepmothers are always unkind ..... their stepchildren.",On / to,On / for,In / for,In / to,In / to,0
24,237,He's lost one of his gloves. He ................... it somewhere,must drop,must have dropped,must be dropping,must have been dropping,must have dropped,0
24,238,We missed the ferry. It .................. by the time we arrived at the pier,went,was going,had gone,has gone,had gone,0
24,239,She wishes she ................ a car. It would make life so much easier,had have,had,would have,has,had,0
24,240,This wet weather has lasted for a long time now. ................ rained every single day.,There has,There was,It has,It was,It has,0
25,241,The plane ............... land at 10.30 but it was half an hour late,supposed to,is supposed to,was supposed to,suppose to,was supposed to,0
25,242,He was happy to find the kind of job ...................,which they had trained him for,for which he had trained for,for which he had been trained for,that was for his training,which they had trained him for,0
25,243,"""Do you think it's going to rain heavily?"" ""......................""",I hope not,I don't hope,I don't hope so,I won't hope so,I hope not,0
25,244,The firemen brought several long ................ to save some people on the roof,ladders,steps,stairs,staircases,ladders,0
25,245,I'm sure I locked the door. I clearly remember.................... it,locking,to lock,to have locked,lock,locking,0
25,246,................ amount of money can buy love and liberty,No,Never,None,Not only,No,0
25,247,She works eight hours ................ day,in,for,a,the,a,0
25,248,We ................ you to take a lawyer to court with you,advised,suggested,threatened,insisted,advised,0
25,249,She's so lazy that she never does ............... work,some,any,no,none,any,0
25,250,She isn't ................ well with the new manager,getting on,going on,keeping on,taking on,getting on,0
26,251,"Sandra told me about her new job, ................... very much",that she's enjoying,which she's enjoying,she's enjoying,she's enjoying it,which she's enjoying,0
26,252,"After the campaign, a special medal was .................... to all combatants",gain,awarded,earned,deserved,awarded,0
26,253,I .............. to find a well-paid job but I had no luck,tried hard,tried hardly,hardly tried,hard tried,tried hard,0
26,254,I would like to invite ................. to my party if they want,they,them,their,theirs,them,0
26,255,Colin has been married a long time. She got married ...............she was 29 years old.,when,as,while,since,when,0
26,256,................. nor animals can survive without oxygen,Plants can neither,Neither can plants,Plants neither,Neither plants,Neither plants,0
26,257,Our flat is ................ the third floor of the building,at,on,in,above,on,0
26,258,He has a ............... cut on his face,horrible,afraid,ill-prepared,logical,horrible,0
26,259,What a boring weekend! ..................... anything,I didn't,I don't do,I didn't do,I don't,I didn't do,0
26,260,"In the legal profession, men .................. women by five to one",outnumber,supersede,overcome,outclass,outnumber,0
27,261,Where's the book I gave you? What .................... with it?,have you done,have you been doing,are you doing,were you doing,have you done,0
27,262,.................... he went to the party last night is still a mystery to me,How,Although,While,Since,How,0
27,263,They were very much amused. They were .......................... amused,more,many,most,the most,most,0
27,264,"I had to get up early, ................ I'd have missed the train",otherwise,if not,but,so that,otherwise,0
27,265,We're late. The film .................. by the time we get to the cinema .,will already start,will be already started,will already have started,will be starting,will already have started,0
27,266,Be careful! Don't ................ your drink on the floor,spill,spread,flood,flow,spill,0
27,267,"""Where ......................? Which hairdresser did you go to?",did you cut your hair,have you cut your hair,did you have cut your hair,did you have your hair cut,did you have your hair cut,0
27,268,"Although our team didn't win the match, but all of us agreed that it had been a good ....................",play,score,game,sport,game,0
27,269,"""You don't know why Angela is absent today, ...................?""  ""Sorry, I've no idea .""",don't you,do you,is she,does she,do you,0
27,270,"Betty was slow to catch ................, but gradually she began to understand",in,on,away,out,on,0
28,271,She tried to be serious but she couldn't help ......................,laughing,to laugh,that she laughed,laugh,laughing,0
28,272,Some of the residents spoke to the reporters about their ................ in the burning plane.,occasion,happening,event,experience,experience,0
28,273,There are millions of stars in ....................,space,a space,the space,this space,space,0
28,274,"""How long ...................... here?"" ""Exactly four years today. I'm thinking of changing my job next year.""",are you working,have you worked,did you work,do you work,have you worked,0
28,275,"""Is there anything you like to eat?"" ""I don't mind. ....................... whatever you've got.""",Something,Anything,Nothing,Thing,Anything,0
28,276,He was always very quick ............... learning languages,on,in,at,about,at,0
28,277,"Susan couldn't come to the meeting, .................. was a pity",that,it,what,which,what,0
28,278,"""Why do you say we are fond of luxuries?"" ""The streets of Bangkok are full of private cars, ............. are expensive.""",all those,most of which,most they,most of what,most of which,0
28,279,I haven't seen her for ................... I've forgotten what she looks like,so long,such long time,such a long time,both a and c are correct,both a and c are correct,0
28,280,I appreciate your .................. my brother,wanting helping,to want to help,wanting to help,to want helping,wanting to help,0
29,281,How beautiful is the house! It's ................ a palace,as,like,alike,unlike,like,0
29,282,Daisy's boss doesn't want her to ................ a habit of using the office phone for personal calls.,make,do,have,increase,make,0
29,283,I saw Jim .................... a theatre last Sunday,at,on,in,to,at,0
29,284,The child ................ his soup all over the table-cloth,stained,spilt,scattered,set,spilt,0
